"Institution","Recs","LCS","GCS"
"Nanyang Technol Univ",1,0,0
"Natl Acad Sci Belarus",1,5,81
"Natl Adm Surveying Mapping & Geoinformat",1,0,13
"Natl Engn Coll",1,0,0
"Natl Forestry & Grassland Adm",1,0,0
"Natl Inst Forest Sci",1,0,1
"Natl Inst Space Res INPE",1,1,21
"Natl Inst Technol",1,0,31
"Natl Land Survey Finland",1,0,6
"Natl Polytech Inst",1,0,3
"Natl Remote Sensing Ctr",1,0,42
"Natl Univ Comp & Emerging Sci",1,0,63
"Natl Univ Sci & Technol",1,0,8
"Natl Univ Singapore",1,1,31
"Naval Univ Engn",1,0,96
"Ningbo Univ",1,0,1
"Northeast Normal Univ",1,0,7
"Northern Border Univ",1,0,0
"Norwegian Univ Sci & Technol",1,3,15
"Oak Ridge Natl Lab",1,0,3
"Ohio State Univ",1,1,3
"Okayama Univ",1,0,0
"Old Dominion Univ",1,0,46
"Oregon State Univ",1,0,9
"Pandit Deendayal Energy Univ",1,0,3
"Peng Cheng Lab",1,0,5
"PLA Air Force Command Coll",1,0,47
"Planet Labs PBC",1,0,9
"Politecn Milan",1,0,0
"Pontifical Catholic Univ Rio De Janeiro PUC",1,1,21
"Prince Sattam Bin Abdulaziz Univ",1,0,7
"Princess Nourah Bin Abdulrahman Univ",1,0,4
"Progress Syst Srl",1,0,35
"Project Lead Way",1,0,9
"Qingdao Univ",1,0,5
"Qinghai Normal Univ",1,0,146
"Qinghai Univ",1,0,7
"Queens Univ",1,0,161
"Republ China Mil Acad",1,0,6
"Riphah Int Univ",1,0,0
"Ruhr Univ Bochum",1,1,60
"Rwanda Space Agcy",1,0,6
"Sai Univ",1,0,0
"SAK Informat",1,0,0
"Santa Catarina State Univ UDESC",1,1,21
"SASTRA Deemed Univ",1,0,1
"Saudi Elect Univ",1,0,0
"Seculayer Co Ltd",1,0,35
"Sethu Inst Technol",1,0,2
"Shaanxi Key Lab Opt Remote Sensing & Intelligent I",1,0,5
"Shaanxi Univ Sci & Technol",1,0,23
"Shahid Beheshti Univ",1,0,0
"Shandong Jianzhu Univ",1,0,78
"Shandong Univ",1,0,33
"Shanghai Hangyao Informat Technol Co LTD",1,0,0
"Shanghai Ocean Univ",1,0,23
"Shanghai Surveying & Mapping Inst",1,0,36
"Shanxi Agr Univ",1,0,7
"Shenyang Geotech Invest & Surveying Res Inst Co L",1,0,0
"Shenyang Jianzhu Univ",1,0,3
"Shenzhen Aerosp Dongfanghong Satellite Co Ltd",1,0,19
"Shenzhen Engn Lab Ocean Environm Big Data Anal &",1,0,66
"Shihezi Univ",1,0,42
"Sichuan Univ Arts & Sci",1,0,0
"Sichuan Univ Sci & Engn",1,0,0
"Signal Proc Inc",1,1,22
"Simon Fraser Univ",1,0,67
"Skymap High Technol Co Ltd",1,2,71
"Sorbonne Univ",1,1,59
"South Dakota State Univ",1,0,9
"Southern Marine Sci & Engn Guangdong Lab Guangzhou",1,0,3
"Southern Marine Sci & Engn Guangdong Lab Zhuhai",1,0,23
"St Louis Univ",1,0,171
"State Grid Pingxiang Power Supply Co",1,0,51
"State Key Lab Remote Sensing Sci",1,3,40
"SUNY Syracuse",1,0,95
"Suzhou Aerosp Informat Res Inst",1,0,0
"Symbiosis Skills & Profess Univ",1,0,8
"Taif Univ",1,1,36
"Tarbiat Modares Univ",1,0,1
"Tech Univ Dresden",1,0,0
"Technocrats Inst Technol",1,0,8
"Texas A&M Univ",1,0,24
"Tianjin Chengjian Univ",1,0,7
"TOKEN CEE Consultants Co Ltd",1,0,0
"Tongji Univ",1,0,36
"TU Wien",1,0,5
"UCL",1,0,1
"UESTC",1,3,40
"Univ Aberdeen",1,0,0
"Univ Alabama",1,0,21
"Univ Appl Sci & Arts Northwestern Switzerland FHNW",1,0,1
"Univ Appl Sci Wurzburg Schweinfurt",1,0,23
"Univ Arkansas",1,0,9
"Univ Autonoma Barcelona",1,1,29
"Univ Belgrade",1,0,11
"Univ Bundeswehr Munich",1,0,0
"Univ Burgos",1,0,0
"Univ Calgary",1,0,1
"Univ Cambridge",1,0,16
"Univ Cent Arkansas",1,0,9
"Univ Chittagong",1,0,2
"Univ Complutense Madrid",1,0,46
"Univ Crete",1,0,18
"Univ Cuenca",1,0,21
